Date,Filename,Original Size (B),Optimized To (B),Savings (%)
8/23/2014 2:12:38 AM,Content/Templates/41184/site/images/img8.gif,1882,683,63.7
8/23/2014 2:12:38 AM,Content/Templates/41184/site/images/img7.gif,1561,362,76.8
8/23/2014 2:12:38 AM,Content/Templates/41184/site/images/img6.gif,1618,419,74.1
8/23/2014 2:12:38 AM,Content/Templates/41184/site/images/img5.gif,1564,365,76.7
8/23/2014 2:12:38 AM,Content/Templates/41184/site/images/img4.gif,1625,426,73.8
8/23/2014 2:12:38 AM,Content/Templates/41184/site/images/img12.gif,1640,441,73.1
8/23/2014 2:12:39 AM,Content/Templates/41184/site/images/img11.gif,1565,366,76.6
8/23/2014 2:12:39 AM,Content/Templates/41184/site/images/img10.gif,1870,671,64.1
8/23/2014 2:12:39 AM,Content/Templates/41184/site/images/box-recommend.gif,1485,286,80.7
8/23/2014 2:12:39 AM,Content/Templates/41179/site/images/prettyPhoto/light_square/loader.gif,2545,2506,1.5
8/23/2014 2:12:39 AM,Content/Templates/41179/site/images/prettyPhoto/light_square/default_thumbnail.gif,227,219,3.5
8/23/2014 2:12:39 AM,Content/Templates/41179/site/images/prettyPhoto/light_rounded/loader.gif,2545,2506,1.5
8/23/2014 2:12:39 AM,Content/Templates/41179/site/images/prettyPhoto/light_rounded/default_thumbnail.gif,227,219,3.5
8/23/2014 2:12:39 AM,Content/Templates/41179/site/images/prettyPhoto/facebook/loader.gif,2545,2506,1.5
8/23/2014 2:12:39 AM,Content/Templates/41179/site/images/prettyPhoto/facebook/default_thumbnail.gif,227,219,3.5
8/23/2014 2:12:39 AM,Content/Templates/41179/site/images/prettyPhoto/default/loader.gif,6331,4987,21.2
8/23/2014 2:12:40 AM,Content/Templates/41179/site/images/prettyPhoto/dark_square/loader.gif,2545,2506,1.5
8/23/2014 2:12:40 AM,Content/Templates/41179/site/images/prettyPhoto/dark_square/default_thumbnail.gif,227,219,3.5
8/23/2014 2:12:40 AM,Content/Templates/41179/site/images/prettyPhoto/dark_rounded/loader.gif,2545,2506,1.5
